0,state,x,y
1,Andhra Pradesh,-72.0,-209.0
2,Arunachal Pradesh,282.0,131.0
3,Assam,241.0,73.0
4,Bihar,70.0,54.0
5,Chhattisgarh,-8.0,-34.0
6,Goa,-190.0,-193.0
7,Gujarat,-245.0,4.0
8,Haryana,-146.0,154.0
9,Himachal Pradesh,-121.0,223.0
10,Jharkhand,60.0,7.0
11,Karnataka,-145.0,-213.0
12,Kerala,-136.0,-312.0
13,Madhya Pradesh,-69.0,-1.0
14,Maharashtra,-146.0,-99.0
15,Manipur,260.0,37.0
16,Meghalaya,218.0,56.0
17,Mizoram,240.0,6.0
18,Nagaland,280.0,73.0
19,Odisha,45.0,-64.0
20,Punjab,-159.0,194.0
21,Rajasthan,-205.0,89.0
22,Sikkim,139.0,111.0
23,Tamil Nadu,-91.0,-282.0
24,Telangana,-66.0,-136.0
25,Tripura,213.0,7.0
26,Uttar Pradesh,-36.0,92.0
27,Uttarakhand,-68.0,175.0
28,West Bengal,125.0,-10.0